,Imagem,Melhor Geracao,Treshold,Contrast,Numero Neuronios,Tempo
0,Imagens/Striatum/ANFIOXO_20.0x.tif,5,118,44,319,0 days 00:00:27.246436
1,Imagens/Striatum/ANFIOXO_20.0x1.jpg,8,196,43,302,0 days 00:00:26.389214
2,Imagens/Striatum/ANFIOXO_20.0x2.jpg,3,231,46,415,0 days 00:00:27.307103
3,Imagens/Striatum/ANFIOXO_20.0x3.jpg,9,219,30,311,0 days 00:00:27.093795
4,Imagens/Striatum/ANFIOXO_20.0x4.jpg,6,182,15,385,0 days 00:00:26.672603
5,Imagens/Striatum/ANFIOXO_20.0x5.jpg,3,217,41,361,0 days 00:00:28.156293
6,Imagens/Striatum/ANFIOXO_20.0x6.jpg,1,191,39,289,0 days 00:00:28.628062
7,Imagens/Striatum/ANFIOXO_20.0x7.jpg,4,230,77,256,0 days 00:00:30.389016
