,Imagem,Melhor Geracao,Treshold,Contrast,Numero Neuronios,Tempo
0,Imagens/Cortex/ANFIOXO_20.0x.jpg,6,138,72,70,0 days 00:09:48.482956
1,Imagens/Cortex/ANFIOXO_20.0x1.jpg,4,177,49,374,0 days 00:09:45.757625
2,Imagens/Cortex/ANFIOXO_20.0x2.jpg,18,102,67,74,0 days 00:09:48.398337
3,Imagens/Cortex/ANFIOXO_20.0x3.jpg,19,164,32,440,0 days 00:09:43.161338
4,Imagens/Cortex/ANFIOXO_20.0x4.jpg,4,174,45,446,0 days 00:09:43.860062
5,Imagens/Cortex/ANFIOXO_20.0x5.jpg,1,157,3,359,0 days 00:09:42.519134
6,Imagens/Cortex/ANFIOXO_20.0x6.jpg,20,162,60,331,0 days 00:09:40.806132
7,Imagens/Cortex/ANFIOXO_20.0x7.jpg,35,166,21,391,0 days 00:09:33.170846
