,Imagem,Melhor Geracao,Treshold,Contrast,Numero Neuronios,Tempo
0,Imagens/Striatum 2/ANFIOXO_20.0x.jpg,27,95,58,29,0 days 00:09:44.445726
1,Imagens/Striatum 2/ANFIOXO_20.0x1.jpg,11,208,36,418,0 days 00:09:45.502292
2,Imagens/Striatum 2/ANFIOXO_20.0x2.jpg,33,209,45,276,0 days 00:09:50.627975
3,Imagens/Striatum 2/ANFIOXO_20.0x3.jpg,48,169,38,309,0 days 00:09:42.725994
4,Imagens/Striatum 2/ANFIOXO_20.0x4.jpg,18,183,30,231,0 days 00:09:41.087833
5,Imagens/Striatum 2/ANFIOXO_20.0x5.jpg,8,195,39,286,0 days 00:09:43.241231
6,Imagens/Striatum 2/ANFIOXO_20.0x6.jpg,42,195,46,278,0 days 00:09:44.166501
7,Imagens/Striatum 2/ANFIOXO_20.0x7.jpg,34,172,44,349,0 days 00:09:41.320801
