,Imagem,Melhor Geracao,Treshold,Contrast,Numero Neuronios,Tempo
0,Imagens/Striatum/ANFIOXO_20.0x.tif,28,124,45,331,0 days 00:09:42.754800
1,Imagens/Striatum/ANFIOXO_20.0x1.jpg,27,186,32,312,0 days 00:09:43.410587
2,Imagens/Striatum/ANFIOXO_20.0x2.jpg,47,197,22,421,0 days 00:09:49.823313
3,Imagens/Striatum/ANFIOXO_20.0x3.jpg,14,209,34,380,0 days 00:09:42.018044
4,Imagens/Striatum/ANFIOXO_20.0x4.jpg,48,196,30,408,0 days 00:09:44.264774
5,Imagens/Striatum/ANFIOXO_20.0x5.jpg,3,202,42,384,0 days 00:09:42.886861
6,Imagens/Striatum/ANFIOXO_20.0x6.jpg,3,196,40,304,0 days 00:09:41.737292
7,Imagens/Striatum/ANFIOXO_20.0x7.jpg,25,190,35,293,0 days 00:09:39.807429
